game_id,home_wins,odds,amount
0021400603,L,-110,1
0021400604,L,-110,1
0021400605,L,-110,1
0021400606,L,-110,1
0021400608,L,-110,1
0021400609,L,-110,1
0021400613,W,-110,1
0021400616,L,-110,1
0021400617,W,-110,1
0021400620,W,-110,1
0021400621,L,-110,1
0021400622,W,-110,1
0021400623,L,-110,1
0021400625,L,-110,1
0021400629,W,-110,1
0021400630,L,-110,1
0021400631,L,-110,1
0021400632,L,-110,1
0021400633,W,-110,1
0021400634,L,-110,1
0021400635,W,-110,1
0021400636,W,-110,1
0021400639,L,-110,1
0021400642,W,-110,1
0021400643,W,-110,1
0021400644,W,-110,1
0021400645,L,-110,1
0021400646,L,-110,1
0021400647,L,-110,1
0021400649,W,-110,1
0021400650,L,-110,1
0021400652,L,-110,1
0021400653,W,-110,1
0021400654,W,-110,1
0021400656,L,-110,1
0021400657,L,-110,1
0021400658,W,-110,1
0021400660,W,-110,1
0021400661,L,-110,1
0021400662,L,-110,1
0021400663,L,-110,1
0021400664,L,-110,1
0021400665,L,-110,1
0021400666,W,-110,1
0021400670,L,-110,1
0021400671,W,-110,1
0021400673,W,-110,1
0021400674,L,-110,1
0021400675,L,-110,1
0021400676,L,-110,1
0021400677,W,-110,1
0021400680,L,-110,1
0021400681,L,-110,1
0021400682,W,-110,1
0021400683,L,-110,1
0021400684,W,-110,1
0021400687,L,-110,1
0021400688,W,-110,1
0021400690,W,-110,1
0021400691,W,-110,1
0021400692,L,-110,1
0021400694,W,-110,1
0021400695,W,-110,1
0021400698,W,-110,1
0021400699,L,-110,1
0021400701,W,-110,1
0021400703,W,-110,1
0021400704,L,-110,1
0021400705,L,-110,1
0021400706,L,-110,1
0021400707,W,-110,1
0021400708,L,-110,1
0021400709,W,-110,1
0021400710,W,-110,1
0021400712,W,-110,1
0021400713,L,-110,1
0021400717,L,-110,1
0021400718,W,-110,1
0021400719,L,-110,1
0021400720,W,-110,1
0021400721,L,-110,1
0021400722,W,-110,1
0021400725,W,-110,1
0021400726,W,-110,1
0021400728,L,-110,1
0021400729,L,-110,1
0021400732,L,-110,1
0021400733,L,-110,1
