Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG,eFG,FTfreq,TOfreq,SFfreq,And1freq,ScoreFreq,Percentile,play_type
Rockets,82,1909,0.21,0.97,1851,629,1751,35.9,50.3,0.03,0.056,0.026,0.003,0.355,44.8,Spotup
Jazz,82,1883,0.221,0.96,1813,632,1689,37.4,49.8,0.047,0.062,0.046,0.006,0.374,37.9,Spotup
Seventysixers,82,2119,0.235,0.84,1788,649,1863,34.8,44.1,0.054,0.075,0.05,0.009,0.344,0,Spotup
Nets,82,1803,0.208,0.97,1756,638,1628,39.2,50.2,0.044,0.059,0.037,0.007,0.391,48.3,Spotup
Pistons,82,1790,0.201,0.98,1755,616,1631,37.8,49.3,0.054,0.046,0.05,0.011,0.384,58.6,Spotup
Clippers,82,1640,0.189,1.05,1725,605,1508,40.1,53.9,0.037,0.048,0.033,0.004,0.399,93.1,Spotup
Bucks,82,1770,0.201,0.97,1724,648,1602,40.4,50.3,0.045,0.061,0.042,0.011,0.399,51.7,Spotup
Warriors,82,1568,0.174,1.09,1715,619,1447,42.8,56,0.042,0.044,0.038,0.009,0.423,100,Spotup
Heat,82,1785,0.214,0.96,1706,597,1577,37.9,49.2,0.058,0.062,0.054,0.006,0.385,31,Spotup
Cavaliers,82,1614,0.186,1.06,1703,581,1483,39.2,53.6,0.039,0.043,0.033,0.001,0.397,96.6,Spotup
Suns,82,1703,0.19,0.98,1665,598,1555,38.5,49.7,0.047,0.049,0.041,0.009,0.388,55.2,Spotup
Celtics,82,1811,0.201,0.92,1664,601,1650,36.4,46.6,0.049,0.046,0.044,0.006,0.372,20.7,Spotup
Bulls,82,1597,0.181,1.03,1641,579,1436,40.3,51.5,0.065,0.046,0.058,0.011,0.416,75.9,Spotup
Pelicans,82,1652,0.192,0.99,1637,603,1520,39.7,50.6,0.043,0.044,0.038,0.007,0.398,65.5,Spotup
Pacers,82,1561,0.179,1.03,1615,599,1446,41.4,52.6,0.037,0.043,0.029,0.006,0.413,82.8,Spotup
Magic,82,1685,0.195,0.95,1602,594,1540,38.6,49.6,0.034,0.059,0.031,0.007,0.377,27.6,Spotup
Raptors,82,1525,0.175,1.03,1567,568,1397,40.7,52.6,0.043,0.052,0.04,0.01,0.402,72.4,Spotup
Knicks,82,1630,0.191,0.96,1559,585,1507,38.8,48.5,0.039,0.042,0.034,0.006,0.391,34.5,Spotup
Hornets,82,1748,0.202,0.88,1546,588,1596,36.8,45.3,0.044,0.054,0.039,0.011,0.366,6.9,Spotup
Nuggets,82,1682,0.184,0.88,1488,525,1535,34.2,44.9,0.046,0.054,0.042,0.012,0.345,10.3,Spotup
Thunder,82,1513,0.165,0.96,1458,524,1392,37.6,49,0.045,0.047,0.043,0.012,0.375,41.4,Spotup
Wizards,82,1441,0.165,0.99,1425,542,1308,41.4,50.9,0.047,0.056,0.044,0.01,0.41,62.1,Spotup
Kings,82,1520,0.17,0.93,1412,495,1324,37.4,47.1,0.07,0.074,0.061,0.014,0.38,24.1,Spotup
Grizzlies,82,1476,0.171,0.91,1348,515,1362,37.8,46.6,0.037,0.049,0.033,0.008,0.376,17.2,Spotup
Lakers,82,1318,0.148,0.89,1179,430,1197,35.9,44.7,0.054,0.045,0.049,0.007,0.37,13.8,Spotup
Timberwolves,82,1304,0.146,0.85,1107,423,1190,35.5,43.8,0.038,0.054,0.035,0.005,0.354,3.4,Spotup
Celtics,82,591,0.065,0.88,523,208,483,43.1,48.2,0.068,0.12,0.061,0.005,0.411,58.6,Handoff
Bulls,82,553,0.063,0.89,493,174,455,38.2,45.3,0.083,0.099,0.08,0.005,0.391,62.1,Handoff
Knicks,82,501,0.059,0.87,435,176,423,41.6,45.4,0.068,0.098,0.066,0.012,0.405,48.3,Handoff
Jazz,82,544,0.064,0.79,430,169,436,38.8,43.3,0.064,0.147,0.051,0.013,0.358,13.8,Handoff
Clippers,82,415,0.048,1.01,418,168,354,47.5,53.4,0.06,0.096,0.048,0.01,0.455,100,Handoff
Spurs,82,402,0.046,0.95,382,146,336,43.5,47.8,0.1,0.087,0.09,0.022,0.433,86.2,Handoff
Lakers,82,416,0.047,0.85,353,132,353,37.4,42.6,0.082,0.082,0.072,0.012,0.385,37.9,Handoff
