Date,Season,player_size,atb3_pps,c3_pps,mid_pps,ra_pps,paint_pps
36868,2000,All,1.066720966,1.141814507,0.88731678,1.621872382,1.071171383
36869,2000,Big,0.993563279,1.108505913,0.851859862,1.590108861,1.062581702
36869,2000,Small,1.083661711,1.140681076,0.908820091,1.651091441,1.089905465
36869,2000,All,1.070040272,1.136123494,0.887827651,1.621547537,1.075321052
36870,2000,Big,0.997513608,1.132537126,0.853730453,1.587220275,1.059886411
36870,2000,Small,1.082058365,1.134036227,0.912525566,1.652943832,1.092182413
36870,2000,All,1.069112355,1.133825021,0.89094221,1.621062826,1.07494215
36871,2000,Big,1.005330184,1.14336235,0.852786681,1.589440125,1.05512355
36871,2000,Small,1.082677629,1.132430473,0.912534194,1.65372535,1.091575499
36871,2000,All,1.070828488,1.133961595,0.89055598,1.622578526,1.072093731
36872,2000,Big,1.010441155,1.148630532,0.851008862,1.591171537,1.050262781
36872,2000,Small,1.08031955,1.123694981,0.913278908,1.649669268,1.09119767
36872,2000,All,1.069455653,1.127181523,0.890326455,1.621388233,1.069326302
36873,2000,Big,1.007936075,1.160011018,0.852166602,1.58731712,1.047190243
36873,2000,Small,1.091625636,1.123058795,0.911989677,1.649216213,1.091733691
36873,2000,All,1.078628132,1.128182647,0.889981974,1.619191943,1.068089322
36874,2000,Big,1.00053573,1.169980995,0.850759178,1.587051288,1.04929471
36874,2000,Small,1.098262676,1.110873324,0.913540986,1.64828068,1.0917406
36874,2000,All,1.083242115,1.119042229,0.890497156,1.618661731,1.069193984
36875,2000,Big,0.995568984,1.186071575,0.850891009,1.587700453,1.048768355
36875,2000,Small,1.097562726,1.110960693,0.912537377,1.647203631,1.089328408
36875,2000,All,1.081831788,1.121355348,0.889942949,1.618368638,1.067778877
36876,2000,Big,0.999899865,1.16090582,0.846950207,1.587938265,1.052568476
36876,2000,Small,1.096255897,1.118368405,0.910602396,1.645767896,1.089672126
36876,2000,All,1.081371156,1.124272711,0.887375765,1.617723122,1.070010846
36877,2000,Big,0.994109153,1.142498221,0.848433698,1.589896251,1.053564915
36877,2000,Small,1.094053964,1.117575202,0.910693903,1.650002489,1.091209728
36877,2000,All,1.07856622,1.121049057,0.888004298,1.620835457,1.071230445
36878,2000,Big,0.992798472,1.162157945,0.84983739,1.590443012,1.056552961
36878,2000,Small,1.09226969,1.114193125,0.911017063,1.646403329,1.090981652
36878,2000,All,1.076930806,1.120861155,0.888685286,1.619223279,1.07271408
36879,2000,Big,0.992156631,1.175976046,0.850790497,1.59111424,1.056747801
36879,2000,Small,1.091700364,1.114405098,0.911393303,1.646084323,1.09133151
36879,2000,All,1.076261635,1.12303654,0.889274922,1.61936124,1.073006928
36880,2000,Big,0.993662586,1.174476864,0.85178221,1.590567694,1.053485965
36880,2000,Small,1.091926139,1.119608945,0.908773229,1.643658491,1.088791952
36880,2000,All,1.076729307,1.127218698,0.887954978,1.617804794,1.070103518
36881,2000,Big,0.989558637,1.177696057,0.852122121,1.593390277,1.05958807
36881,2000,Small,1.087703024,1.119788478,0.909216723,1.641517289,1.087633432
36881,2000,All,1.072514173,1.127746674,0.888345921,1.618062254,1.072830292
36882,2000,Big,0.99003299,1.184500858,0.851344803,1.594518318,1.059865451
36882,2000,Small,1.08821656,1.116924455,0.90930849,1.641792244,1.090289442
36882,2000,All,1.073008048,1.126288266,0.888179048,1.618765889,1.07425998
36883,2000,Big,0.982265557,1.188365011,0.850002327,1.594642057,1.062654708
36883,2000,Small,1.090291579,1.12525046,0.910293376,1.640186992,1.091296811
36883,2000,All,1.073712115,1.134030757,0.888239311,1.61795505,1.076233429
36885,2000,Big,0.975775043,1.197158472,0.850113658,1.595462575,1.063141192
36885,2000,Small,1.088926842,1.125987929,0.91108725,1.637066243,1.096163865
36885,2000,All,1.071486096,1.135996286,0.888746993,1.616751022,1.078804133
36886,2000,Big,0.975476517,1.188545422,0.84954866,1.595243062,1.065987477
36886,2000,Small,1.090348446,1.125707929,0.911744107,1.63860402,1.099590454
36886,2000,All,1.072613157,1.134575739,0.888967101,1.617424242,1.081896732
36887,2000,Big,0.959335579,1.191590123,0.852643115,1.595915743,1.064251463
36887,2000,Small,1.093659081,1.127815195,0.912315233,1.637124084,1.102396385
36887,2000,All,1.072656754,1.136861953,0.890480651,1.617091656,1.082343416
36888,2000,Big,0.959846051,1.195144478,0.853687907,1.595258056,1.065999327
36888,2000,Small,1.092776376,1.124034659,0.912886933,1.639234959,1.101736973
36888,2000,All,1.072091338,1.134130015,0.891250777,1.617908504,1.082977127
36889,2000,Big,0.971675836,1.18976014,0.853472056,1.597141282,1.066364166
36889,2000,Small,1.09410569,1.121965236,0.915382358,1.637989497,1.105990052
36889,2000,All,1.07495747,1.13157722,0.892805687,1.61820191,1.085177964
36890,2000,Big,0.968182154,1.178031374,0.853826202,1.599147937,1.067396231
36890,2000,Small,1.094753997,1.126080311,0.91547378,1.638621233,1.104354593
36890,2000,All,1.075045473,1.133454368,0.892996501,1.619494754,1.084911326
36891,2000,Big,0.966593685,1.162532341,0.855348355,1.600344053,1.065343043
36891,2000,Small,1.095932526,1.138978963,0.917437291,1.641685984,1.11066198
36891,2000,All,1.075786007,1.142272066,0.894806019,1.621677608,1.086869231
36892,2000,Big,0.965870728,1.162532341,0.854996004,1.599762475,1.066559402
36892,2000,Small,1.094589044,1.141075309,0.917215006,1.641019829,1.111886417
36892,2000,All,1.07461036,1.144066067,0.894565796,1.621066962,1.088080349
36893,2000,Big,0.963466148,1.157217717,0.854299455,1.599561458,1.067423911
36893,2000,Small,1.095221526,1.139447192,0.916952564,1.64179825,1.110851186
36893,2000,All,1.074706615,1.141924406,0.894147152,1.621375327,1.088038025
