Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT_Freq,TO_Freq,SF_Freq,AndOne_Freq,Score_Freq,Percentile,Playtype,Side
Dallas Mavericks,14,160,10.2%,0.91,146,59,123,48.0,48.0,11.9%,13.1%,10.6%,1.9%,46.3%,10.3,post-up,defensive
Golden State Warriors,15,173,10.1%,0.84,146,57,131,43.5,43.5,13.3%,13.9%,11.0%,2.9%,42.8%,48.3,post-up,defensive
Portland Trail Blazers,15,177,10.9%,0.89,157,62,140,44.3,44.3,14.1%,9.6%,11.9%,2.8%,45.8%,27.6,post-up,defensive
Philadelphia 76ers,15,165,10.1%,0.96,159,67,135,49.6,49.6,10.3%,9.1%,9.7%,1.2%,49.7%,6.9,post-up,defensive
New York Knicks,15,220,13.6%,0.78,172,60,198,30.3,39.4,5.0%,5.5%,4.5%,0.5%,31.4%,100.0,spot-up,defensive
Indiana Pacers,13,225,15.9%,0.89,200,72,202,35.6,47.0,3.6%,7.1%,3.6%,0.4%,35.1%,58.6,spot-up,defensive
Miami Heat,13,268,19.2%,0.78,210,76,241,31.5,40.0,4.1%,6.0%,3.7%,0.0%,31.7%,96.6,spot-up,defensive
Golden State Warriors,15,247,14.5%,0.89,220,81,221,36.7,45.2,3.6%,6.9%,3.2%,0.0%,36.4%,55.2,spot-up,defensive
Chicago Bulls,12,237,17.3%,0.97,229,83,216,38.4,49.8,3.4%,5.5%,3.4%,0.0%,38.4%,37.9,spot-up,defensive
Los Angeles Clippers,13,265,18.2%,0.88,234,81,234,34.6,44.4,6.0%,6.0%,4.2%,0.4%,36.2%,65.5,spot-up,defensive
Dallas Mavericks,14,272,17.4%,0.86,235,86,246,35.0,44.9,3.7%,6.6%,2.2%,0.7%,34.6%,82.8,spot-up,defensive
Minnesota Timberwolves,14,284,18.3%,0.83,235,86,259,33.2,42.7,3.9%,5.6%,3.5%,0.7%,33.5%,89.7,spot-up,defensive
Detroit Pistons,14,224,15.1%,1.05,236,81,195,41.5,55.1,5.4%,8.5%,4.9%,0.9%,40.6%,10.3,spot-up,defensive
Utah Jazz,13,255,19.0%,0.95,242,82,222,36.9,48.4,7.1%,6.3%,5.9%,0.4%,38.4%,44.8,spot-up,defensive
Boston Celtics,13,278,19.1%,0.87,242,88,242,36.4,46.3,3.6%,9.7%,3.6%,0.4%,34.9%,79.3,spot-up,defensive
Charlotte Hornets,14,307,20.4%,0.80,246,93,283,32.9,42.2,3.3%,5.9%,2.9%,1.3%,31.3%,93.1,spot-up,defensive
Philadelphia 76ers,15,260,15.8%,0.95,248,85,233,36.5,47.4,7.7%,5.0%,6.9%,2.3%,38.1%,41.4,spot-up,defensive
Los Angeles Lakers,13,295,20.5%,0.85,250,89,273,32.6,43.4,3.1%,5.1%,2.7%,0.7%,32.5%,86.2,spot-up,defensive
Phoenix Suns,14,284,18.5%,0.90,256,93,256,36.3,47.5,3.5%,7.0%,3.2%,0.7%,35.6%,51.7,spot-up,defensive
San Antonio Spurs,14,269,18.3%,0.97,260,96,244,39.3,49.6,4.1%,5.6%,2.2%,0.7%,39.0%,34.5,spot-up,defensive
Cleveland Cavaliers,14,262,17.7%,1.03,270,97,234,41.5,52.4,6.1%,5.7%,5.0%,1.1%,41.6%,13.8,spot-up,defensive
Portland Trail Blazers,15,305,18.7%,0.89,271,101,279,36.2,45.9,4.3%,5.6%,4.3%,1.3%,35.7%,62.1,spot-up,defensive
New Orleans Pelicans,14,267,17.5%,1.02,272,96,246,39.0,51.2,5.6%,3.4%,5.2%,1.1%,40.4%,20.7,spot-up,defensive
Memphis Grizzlies,14,269,18.1%,1.01,272,97,234,41.5,53.8,5.2%,8.9%,4.1%,1.1%,40.1%,24.1,spot-up,defensive
Sacramento Kings,15,310,18.2%,0.88,272,99,280,35.4,45.4,3.9%,6.5%,3.5%,0.6%,34.8%,72.4,spot-up,defensive
Washington Wizards,10,254,22.8%,1.09,278,100,227,44.1,57.3,3.9%,6.7%,3.5%,0.0%,43.3%,0.0,spot-up,defensive
Oklahoma City Thunder,15,266,15.7%,1.06,281,98,223,43.9,56.5,9.0%,9.4%,7.9%,2.3%,42.9%,6.9,spot-up,defensive
Houston Rockets,14,329,20.8%,0.88,288,102,297,34.3,44.8,4.3%,5.5%,2.7%,0.0%,35.0%,75.9,spot-up,defensive
Toronto Raptors,15,312,19.6%,0.93,290,100,279,35.8,47.7,3.8%,6.4%,3.5%,0.0%,35.9%,48.3,spot-up,defensive
Denver Nuggets,14,310,20.3%,1.03,318,110,273,40.3,54.6,3.5%,8.7%,3.2%,0.3%,38.7%,17.2,spot-up,defensive
Orlando Magic,14,382,24.5%,0.88,336,119,341,34.9,46.2,3.7%,7.6%,3.1%,0.5%,34.3%,69.0,spot-up,defensive
Atlanta Hawks,15,366,22.2%,0.97,355,127,326,39.0,49.8,5.2%,6.6%,4.9%,1.1%,38.8%,31.0,spot-up,defensive
Brooklyn Nets,14,330,22.0%,1.08,357,127,307,41.4,54.9,3.6%,4.2%,3.3%,0.9%,41.2%,3.4,spot-up,defensive
Milwaukee Bucks,14,385,25.1%,0.99,381,138,346,39.9,51.7,4.2%,7.3%,3.9%,1.3%,38.7%,27.6,spot-up,defensive
Miami Heat,13,45,3.2%,0.80,36,12,35,34.3,37.1,11.1%,11.1%,11.1%,0.0%,37.8%,89.7,hand-off,defensive
Chicago Bulls,12,48,3.5%,0.83,40,14,39,35.9,41.0,8.3%,10.4%,6.3%,0.0%,37.5%,86.2,hand-off,defensive
Cleveland Cavaliers,14,57,3.8%,0.75,43,14,45,31.1,36.7,10.5%,12.3%,10.5%,1.8%,33.3%,96.6,hand-off,defensive
Washington Wizards,10,45,4.0%,0.98,44,17,36,47.2,52.8,8.9%,13.3%,4.4%,2.2%,44.4%,27.6,hand-off,defensive
Los Angeles Lakers,13,51,3.6%,0.94,48,20,44,45.5,47.7,7.8%,7.8%,5.9%,2.0%,45.1%,48.3,hand-off,defensive
Sacramento Kings,15,54,3.2%,0.89,48,17,38,44.7,47.4,13.0%,18.5%,9.3%,1.9%,42.6%,69.0,hand-off,defensive
Denver Nuggets,14,58,3.8%,0.86,50,19,47,40.4,45.7,6.9%,12.1%,6.9%,0.0%,39.7%,75.9,hand-off,defensive
Orlando Magic,14,58,3.7%,0.88,51,20,45,44.4,48.9,10.3%,15.5%,6.9%,3.4%,39.7%,72.4,hand-off,defensive
Atlanta Hawks,15,66,4.0%,0.79,52,21,59,35.6,42.4,3.0%,9.1%,3.0%,1.5%,33.3%,93.1,hand-off,defensive
San Antonio Spurs,14,57,3.9%,0.93,53,23,44,52.3,54.5,7.0%,17.5%,7.0%,1.8%,45.6%,58.6,hand-off,defensive
Memphis Grizzlies,14,67,4.5%,0.84,56,18,47,38.3,46.8,9.0%,20.9%,4.5%,0.0%,35.8%,82.8,hand-off,defensive
Boston Celtics,13,65,4.5%,0.89,58,21,46,45.7,52.2,9.2%,21.5%,6.2%,1.5%,40.0%,65.5,hand-off,defensive
Indiana Pacers,13,77,5.4%,0.75,58,23,64,35.9,39.8,6.5%,10.4%,6.5%,0.0%,36.4%,100.0,hand-off,defensive
New Orleans Pelicans,14,59,3.9%,1.02,60,28,54,51.9,54.6,1.7%,6.8%,1.7%,0.0%,49.2%,17.2,hand-off,defensive
Utah Jazz,13,60,4.5%,1.00,60,22,47,46.8,53.2,11.7%,11.7%,10.0%,1.7%,46.7%,21.4,hand-off,defensive
Golden State Warriors,15,65,3.8%,0.92,60,22,58,37.9,44.8,9.2%,3.1%,9.2%,1.5%,40.0%,62.1,hand-off,defensive
Toronto Raptors,15,65,4.1%,0.94,61,21,51,41.2,50.0,10.8%,10.8%,6.2%,0.0%,43.1%,51.7,hand-off,defensive
Brooklyn Nets,14,72,4.8%,0.86,62,21,57,36.8,42.1,12.5%,11.1%,12.5%,2.8%,38.9%,79.3,hand-off,defensive
Los Angeles Clippers,13,61,4.2%,1.08,66,23,51,45.1,54.9,9.8%,8.2%,8.2%,1.6%,45.9%,6.9,hand-off,defensive
Milwaukee Bucks,14,70,4.6%,0.97,68,27,58,46.6,54.3,4.3%,12.9%,2.9%,0.0%,42.9%,31.0,hand-off,defensive
Philadelphia 76ers,15,74,4.5%,0.93,69,27,62,43.5,47.6,9.5%,8.1%,6.8%,1.4%,43.2%,55.2,hand-off,defensive
Detroit Pistons,14,73,4.9%,0.96,70,28,60,46.7,50.0,8.2%,11.0%,6.8%,1.4%,45.2%,34.5,hand-off,defensive
Dallas Mavericks,14,75,4.8%,0.95,71,27,62,43.5,53.2,4.0%,13.3%,4.0%,0.0%,40.0%,44.8,hand-off,defensive
Minnesota Timberwolves,14,68,4.4%,1.06,72,27,57,47.4,57.0,10.3%,10.3%,8.8%,4.4%,44.1%,13.8,hand-off,defensive
Houston Rockets,14,69,4.4%,1.07,74,29,59,49.2,58.5,4.3%,10.1%,0.0%,0.0%,46.4%,10.3,hand-off,defensive
Phoenix Suns,14,76,4.9%,1.00,76,30,64,46.9,53.9,5.3%,10.5%,2.6%,0.0%,44.7%,21.4,hand-off,defensive
