Player ,ID,Size
john stockton,304,Small
john starks,317,Small
greg foster,323,Big
anthony peeler,324,Small
danny manning,330,Big
tom gugliotta,339,Big
kevin pritchard,340,Small
dana barros,344,Small
terry porter,345,Small
mitchell butler,348,Small
mark jackson,349,Small
darrell armstrong,353,Small
anfernee hardaway,358,Small
chucky brown,359,Small
clifford robinson,361,Big
christian laettner,363,Big
derrick mckey,365,Small
charlie ward,369,Small
terry mills,371,Big
isaiah rider,375,Small
eric montross,376,Big
tony smith,380,Small
james robinson,381,Small
kendall gill,383,Small
calbert cheaney,384,Small
elliot perry,386,Small
toni kukoc,389,Big
rod strickland,393,Small
reggie miller,397,Small
sean rooks,399,Big
derek strong,400,Big
shaquille o'neal,406,Big
sam mitchell,417,Small
avery johnson,422,Small
chris gatling,423,Big
terry davis,426,Big
sherman douglas,428,Small
shawn kemp,431,Big
carlos rogers,435,Big
juwan howard,436,Big
zan tabak,440,Big
lamond murray,441,Small
pervis ellison,442,Big
wesley person,445,Small
lucious harris,446,Small
bo outlaw,448,Big
vin baker,452,Big
howard eisley,458,Small
popeye jones,461,Big
j.r. reid,462,Big
jason kidd,467,Small
jon barry,468,Small
jamal mashburn,469,Small
ike diogu,101113,Big
deron williams,101114,Small
john edwards,2823,Big
francisco garcia,101128,Small
james thomas,2839,Big
matt bullard,672,Big
alan henderson,673,Big
eric williams,677,Small
jason caffey,679,Big
john amaechi,680,Big
donny marshall,681,Small
bob sura,682,Small
cherokee parks,685,Big
antonio mcdyess,686,Big
martynas andriuskevicius,101149,Big
michael curry,688,Small
theo ratliff,689,Big
don reid,690,Big
andrew declercq,692,Big
joe smith,693,Big
sam mack,694,Small
eldridge recasner,695,Small
travis best,696,Small
fred hoiberg,697,Small
brent barry,699,Small
voshon lenard,702,Small
kurt thomas,703,Big
kevin garnett,708,Big
jerry stackhouse,711,Small
chris carr,713,Small
michael finley,714,Small
john coker,715,Big
arvydas sabonis,717,Big
gary trent,718,Big
tyus edney,721,Small
corliss williamson,722,Big
cory alexander,724,Small
eric snow,727,Small
awvee storey,2852,Small
greg ostertag,731,Big
bryant reeves,735,Big
rasheed wallace,739,Big
randy brown,753,Small
jim jackson,754,Small
damon stoudamire,757,Small
andre barrett,2857,Small
jerome kersey,760,Small
matt geiger,761,Big
shawn bradley,762,Big
tony massenburg,763,Big
david robinson,764,Big
hersey hawkins,765,Small
david wingate,766,Small
glen rice,779,Small
will perdue,781,Big
mitch richmond,782,Small
kevin willis,788,Big
fabricio oberto,101177,Big
sarunas jasikevicius,101180,Small
charles oakley,891,Big
michael jordan,893,Small
tyrone corbin,895,Small
tim hardaway,896,Small
otis thorpe,901,Big
bimbo coles,902,Small
chris mullin,904,Small
dale davis,905,Big
ervin johnson,911,Big
larry johnson,913,Big
rodney rogers,915,Small
corie blount,916,Big
loy vaught,919,Big
a.c. green,920,Big
elden campbell,922,Big
donyell marshall,923,Big
anthony goldwire,924,Small
don maclean,931,Small
oliver miller,932,Big
derrick coleman,934,Big
bryon russell,935,Small
scottie pippen,937,Small
pete myers,939,Small
allen iverson,947,Small
marcus camby,948,Big
shareef abdur-rahim,949,Big
stephon marbury,950,Small
ray allen,951,Small
antoine walker,952,Big
lorenzen wright,953,Big
kerry kittles,954,Small
samaki walker,955,Big
erick dampier,956,Big
todd fuller,957,Big
vitaly potapenko,958,Big
steve nash,959,Small
tony delk,960,Small
john wallace,961,Small
walter mccarty,962,Small
derek fisher,965,Small
jerome williams,966,Small
travis knight,969,Big
othella harrington,970,Big
jeff mcinnis,976,Small
kobe bryant,977,Small
peja stojakovic,978,Small
jermaine o'neal,979,Big
zydrunas ilgauskas,980,Big
efthimios rentzias,981,Big
moochie norris,983,Small
randy livingston,988,Small
malik rose,990,Small
jamie feick,994,Big
mark pope,998,Big
shandon anderson,1000,Small
walt williams,1005,Small
herb williams,1006,Big
emanual davis,1023,Small
darvin ham,1032,Small
shawnelle scott,1035,Big
juaquin hawkins,1038,Small
amal mccaskill,1043,Big
shane heal,1049,Small
dean garrett,1051,Big
ben handlogten,1052,Big
erick strickland,1065,Small
reggie slater,1073,Big
matt maloney,1074,Small
ira bowman,1085,Small
chucky atkins,1088,Small
mark strickland,1110,Small
ben wallace,1112,Big
jaren jackson,1114,Small
ike austin,1134,Big
michael hawkins,1138,Small
aaron williams,1425,Big
dragan tarlac,1434,Big
zeljko rebraca,1442,Big
lawrence funderburke,1444,Big
bruce bowen,1477,Small
tim duncan,1495,Big
keith van horn,1496,Small
chauncey billups,1497,Small
antonio daniels,1498,Small
tony battie,1499,Big
ron mercer,1500,Small
tim thomas,1501,Big
adonal foyle,1502,Big
tracy mcgrady,1503,Small
danny fortson,1504,Big
tariq abdul-wahad,1505,Small
austin croshere,1506,Big
derek anderson,1507,Small
maurice taylor,1508,Big
kelvin cato,1509,Big
brevin knight,1510,Small
scot pollard,1513,Big
paul grant,1514,Big
anthony parker,1515,Small
bobby jackson,1517,Small
john thomas,1519,Big
charles smith,1520,Small
jacque vaughn,1521,Small
marc jackson,1531,Big
anthony johnson,1533,Small
stephen jackson,1536,Small
cedric henderson,1538,Small
alvin williams,1541,Small
predrag drobnjak,1542,Big
chris crawford,1544,Big
mark blount,1548,Big
jamal robinson,1554,Small
adrian griffin,1559,Small
gerard king,1562,Small
kevin ollie,1563,Small
etdrick bohannon,1564,Big
michael stewart,1565,Big
nate huffman,1572,Big
brandon williams,1585,Small
rick brunson,1594,Small
kornel david,1600,Small
rusty larue,1601,Small
troy hudson,1607,Small
art long,1609,Small
chris garner,1612,Small
mikki moore,1630,Big
larry robinson,1683,Small
michael olowokandi,1709,Big
mike bibby,1710,Small
raef lafrentz,1711,Big
antawn jamison,1712,Big
vince carter,1713,Small
robert traylor,1714,Big
jason williams,1715,Small
larry hughes,1716,Small
dirk nowitzki,1717,Big
paul pierce,1718,Small
bonzi wells,1719,Small
michael doleac,1720,Big
keon clark,1721,Big
michael dickerson,1722,Small
matt harpring,1723,Small
bryce drew,1724,Small
rasho nesterovic,1725,Big
pat garrity,1727,Big
roshown mcleod,1728,Small
ricky davis,1729,Small
brian skinner,1730,Big
tyronn lue,1731,Small
felipe lopez,1732,Small
al harrington,1733,Big
sam jacobson,1734,Small
vladimir stepania,1735,Big
corey benjamin,1736,Small
nazr mohammed,1737,Big
ansu sesay,1738,Small
ruben patterson,1739,Small
rashard lewis,1740,Small
jelani mccoy,1741,Big
shammond williams,1742,Small
bruno sundov,1743,Big
jerome james,1744,Big
rafer alston,1747,Small
cuttino mobley,1749,Small
jahidi white,1751,Big
sean marks,1752,Big
derrick dial,1760,Small
greg buckner,1761,Small
tremaine fowlkes,1762,Small
ryan bowen,1763,Small
torraye braggs,1765,Big
maceo baston,1766,Big
damon jones,1800,Small
brad miller,1802,Big
ike fontaine,1829,Small
dexter pittman,665382,Big
tyrone nesby,1838,Small
anthony carter,1853,Small
earl boykins,1863,Small
steve goodrich,1864,Small
elton brand,1882,Big
steve francis,1883,Small
baron davis,1884,Small
lamar odom,1885,Big
jonathan bender,1886,Small
wally szczerbiak,1887,Small
richard hamilton,1888,Small
andre miller,1889,Small
shawn marion,1890,Small
jason terry,1891,Small
trajan langdon,1892,Small
aleksandar radojevic,1893,Big
corey maggette,1894,Small
william avery,1895,Small
metta world peace,1897,Small
cal bowdler,1898,Big
james posey,1899,Small
quincy lewis,1900,Small
dion glover,1901,Small
jeff foster,1902,Big
kenny thomas,1903,Big
devean george,1904,Small
andrei kirilenko,1905,Small
tim james,1906,Small
vonteego cummings,1907,Small
jumaine jones,1908,Small
scott padgett,1909,Big
leon smith,1910,Big
michael ruffin,1913,Big
chris herren,1914,Small
evan eschmeyer,1915,Big
calvin booth,1916,Big
wang zhi-zhi,1917,Big
obinna ekezie,1918,Big
laron profit,1919,Small
gordan giricek,1921,Small
francisco elson,1922,Big
lee nailon,1924,Big
todd macculloch,1928,Big
lari ketner,1930,Big
rodney buford,1934,Small
manu ginobili,1938,Small
harold jamison,1942,Big
eddie robinson,1944,Small
andy panko,1950,Small
raja bell,1952,Small
ira newble,1956,Small
milt palacio,1960,Small
jamel thomas,1975,Small
jermaine jackson,1983,Small
zendon hamilton,1985,Big
kenyon martin,2030,Big
stromile swift,2031,Big
darius miles,2032,Small
marcus fizer,2033,Big
mike miller,2034,Small
dermarr johnson,2035,Small
chris mihm,2036,Big
jamal crawford,2037,Small
joel przybilla,2038,Big
keyon dooling,2039,Small
jerome moiso,2040,Big
etan thomas,2041,Big
courtney alexander,2042,Small
mateen cleaves,2043,Small
jason collier,2044,Big
hedo turkoglu,2045,Small
desmond mason,2046,Small
quentin richardson,2047,Small
jamaal magloire,2048,Big
speedy claxton,2049,Small
morris peterson,2050,Small
donnell harvey,2051,Big
deshawn stevenson,2052,Small
dalibor bagaric,2053,Big
jake tsakalidis,2054,Big
mamadou n'diaye,2055,Big
primoz brezec,2056,Big
erick barkley,2057,Small
mark madsen,2058,Big
eduardo najera,2059,Big
marko jaric,2060,Small
dan langhi,2061,Small
a.j. guyton,2062,Small
jake voskuhl,2063,Big
khalid el-amin,2064,Small
mike smith,2065,Small
soumaila samake,2066,Big
eddie house,2067,Small
lavor postell,2068,Small
hanno mottola,2069,Big
olumide oyedeji,2071,Big
michael redd,2072,Small
brian cardinal,2073,Small
jabari smith,2074,Big
jason hart,2078,Small
kaniel dickens,2079,Big
igor rakocevic,2080,Small
ernest brown,2081,Big
dan mcclintock,2082,Big
chris porter,2084,Small
daniel santiago,2091,Big
ruben garces,2092,Big
slava medvedenko,2098,Big
paul mcpherson,2101,Small
ruben wolkowyski,2106,Big
eddie gill,2109,Small
terrance roberson,2121,Small
garth joseph,2123,Big
malik allen,2124,Big
david vanterpool,2128,Small
mike penberthy,2130,Small
ime udoka,2137,Small
juan sanchez,2143,Small
sean colson,2173,Small
kwame brown,2198,Big
tyson chandler,2199,Big
pau gasol,2200,Big
eddy curry,2201,Big
jason richardson,2202,Small
shane battier,2203,Small
eddie griffin,2204,Big
desagana diop,2205,Big
rodney white,2206,Small
joe johnson,2207,Small
kedrick brown,2208,Small
vladimir radmanovic,2209,Big
richard jefferson,2210,Small
troy murphy,2211,Big
steven hunter,2212,Big
kirk haston,2213,Small
michael bradley,2214,Big
jason collins,2215,Big
zach randolph,2216,Big
brendan haywood,2217,Big
joseph forte,2218,Small
jeryl sasser,2219,Small
brandon armstrong,2220,Small
raul lopez,2221,Small
gerald wallace,2222,Small
samuel dalembert,2223,Big
jamaal tinsley,2224,Small
tony parker,2225,Small
will solomon,2226,Small
alton ford,2228,Big
mike james,2229,Small
maurice evans,2230,Small
ratko varda,2237,Big
antonis fotsis,2238,Big
trenton hassell,2239,Small
gilbert arenas,2240,Small
omar cook,2241,Small
terence morris,2242,Small
brian scalabrine,2243,Big
jeff trepagnier,2244,Small
damone brown,2245,Small
mehmet okur,2246,Big
earl watson,2248,Small
jamison brewer,2249,Small
bobby simmons,2250,Small
sean lampley,2253,Small
loren woods,2254,Big
ken johnson,2256,Big
ruben boumtje-boumtje,2257,Big
jarron collins,2260,Big
kenny satterfield,2261,Small
alvin jones,2264,Big
charlie bell,2294,Small
carlos arroyo,2306,Small
paul shirley,2321,Big
joe crispin,2343,Small
tang hamilton,2347,Small
victor alexander,2349,Big
oscar torres,2351,Small
dean oliver,2352,Small
tierre brown,2357,Small
chris andersen,2365,Big
mike wilks,2366,Small
geno carlisle,2367,Small
norman richardson,2369,Small
mengke bateer,2370,Big
yao ming,2397,Big
jay williams,2398,Small
mike dunleavy,2399,Small
drew gooden,2400,Big
nikoloz tskitishvili,2401,Small
