player_id,player_name
2406,caron butler
2407,jared jeffries
2408,melvin ely
2409,marcus haislip
2410,fred jones
2411,bostjan nachbar
2412,jiri welsch
2413,juan dixon
2414,curtis borchardt
2415,ryan humphrey
2416,kareem rush
2417,qyntel woods
2418,casey jacobsen
2419,tayshaun prince
2420,nenad krstic
2421,frank williams
2422,john salmons
2423,chris jefferies
2424,dan dickau
2425,robert archibald
2427,roger mason jr.
2428,vincent yarbrough
2429,dan gadzuric
2430,carlos boozer
2431,david andersen
2432,tito maddox
2434,juan carlos navarro
2435,mario kasun
2436,ronald murray
2437,lonny baxter
2440,matt barnes
2441,jamal sampson
2442,chris owens
2443,darius songaila
2446,rasual butler
2447,tamar slay
2449,luis scola
2450,randy holcomb
2452,j.r. bremer
2453,predrag savovic
2454,junior harrington
2456,cezary trybanski
2457,jannero pargo
2462,guy rucker
2466,maurice carter
2469,pat burke
2470,smush parker
2471,mike batiste
2484,devin brown
2492,adam harrington
2499,richie frahm
2501,reggie evans
2541,antoine rigaudeau
2544,lebron james
2545,darko milicic
2546,carmelo anthony
2547,chris bosh
2548,dwyane wade
2549,chris kaman
2550,kirk hinrich
2551,t.j. ford
2552,michael sweetney
2553,jarvis hayes
2554,mickael pietrus
2555,nick collison
2556,marcus banks
2557,luke ridnour
2558,reece gaines
2559,troy bell
2560,zarko cabarkapa
2561,david west
2562,sasha pavlovic
2563,dahntay jones
2564,boris diaw
2565,zoran planinic
2566,travis outlaw
2567,brian cook
2568,carlos delfino
2569,ndudi ebi
2570,kendrick perkins
2571,leandro barbosa
2572,josh howard
2573,maciej lampe
2574,jason kapono
2575,luke walton
2580,travis hansen
2581,steve blake
2582,slavko vranes
2583,derrick zimmerman
2584,willie green
2585,zaza pachulia
2586,keith bogans
2588,matt bonner
2590,mo williams
2591,james lang
2592,james jones
2594,kyle korver
2599,brandon hunter
2601,andreas glyniadakis
2602,jerome beasley
2604,theron smith
2605,marquis daniels
2617,udonis haslem
2624,quinton ross
2632,kirk penney
2637,alex scales
2639,britton johnsen
2648,ronald dupree
2657,yuta tabuse
2667,desmond penigar
2668,josh davis
2669,linton johnson
2673,hiram fuller
2679,matt carroll
2682,alex garcia
2684,melvin sanders
2693,keith mcleod
2694,josh powell
2696,lynn greer
2724,desmond ferguson
2730,dwight howard
2731,emeka okafor
2732,ben gordon
2733,shaun livingston
2734,devin harris
2735,josh childress
2736,luol deng
2737,rafael araujo
2738,andre iguodala
2739,luke jackson
2740,andris biedrins
2741,robert swift
2742,sebastian telfair
2743,kris humphries
2744,al jefferson
2745,kirk snyder
2746,josh smith
2747,j.r. smith
2748,dorell wright
2749,jameer nelson
2750,pavel podkolzin
2751,viktor khryapa
2752,sergei monia
2753,delonte west
2754,tony allen
2755,kevin martin
2756,sasha vujacic
2757,beno udrih
2758,david harrison
2760,anderson varejao
2761,jackson vroman
2762,peter ramos
2763,lionel chalmers
2764,donta smith
2765,andre emmett
2766,antonio burks
2767,royal ivey
2768,chris duhon
2770,justin reed
2772,trevor ariza
2773,tim pickett
2774,bernard robinson
2775,ha seung-jin
2776,pape sow
2779,vassilis spanoulis
2782,matt freije
2788,dj mbenga
101106,andrew bogut
101107,marvin williams
2804,andres nocioni
101109,raymond felton
101110,martell webster
101111,charlie villanueva
101112,channing frye
2809,gerald fitch
2810,andre brown
101115,andrew bynum
101117,yaroslav korolev
101118,sean may
101119,rashad mccants
101120,antoine wright
101121,joey graham
101122,danny granger
101123,gerald green
101124,hakim warrick
101125,julius hodge
101126,nate robinson
101127,jarrett jack
2824,desmon farmer
101129,luther head
101130,johan petro
101131,jason maxiell
101132,linas kleiza
101133,ian mahinmi
101134,wayne simien
101135,david lee
101136,salim stoudamire
101137,daniel ewing
101138,brandon bass
101139,cj miles
101141,ersan ilyasova
101142,ronny turiaf
101143,travis diener
101144,von wafer
101145,monta ellis
101146,roko leni ukic
101147,chris taft
101148,mile ilic
2845,erik daniels
101150,lou williams
101152,bracey wright
101153,mickael gelabale
101154,andray blatche
101155,ryan gomes
101156,robert whaley
2853,earl barron
101158,orien greene
101159,dijon thompson
101160,lawrence roberts
101161,amir johnson
101162,marcin gortat
101165,alex acker
101166,uros slokar
2863,damien wilkins
2866,jackie butler
2867,kasib powell
2873,billy thomas
101178,arvydas macijauskas
101179,ronnie price
2876,jared reiner
101181,jose calderon
101182,donell taylor
101183,shavlik randolph
101184,deng gai
101185,rawle marshall
101187,alan anderson
101188,eddie basden
101189,james singleton
101190,matt walsh
101194,anthony roberson
101195,luke schenscher
101198,will bynum
101204,dwayne jones
101207,kevin burleson
101209,devin green
101211,stephen graham
101212,esteban batista
101213,sharrod ford
101214,jawad williams
101215,will conroy
101219,anthony grundy
101223,aaron miles
101230,noel felix
101232,roger powell
101235,kelenna azubuike
101236,charles hayes
101238,boniface n'dong
101247,keith langford
101249,john lucas iii
101252,sean banks
101261,andre owens
200081,jamario moon
200745,andrea bargnani
